linea;estacion;dev_id;id_linea
FFCC MITRE-SUAREZ;FFCC Mitre Est. Cetrángolo;8908;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Cetrángolo;8957;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Cetrángolo;9877;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Coghlan;7890;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. J. L. Suarez;8924;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. J. L. Suarez;9569;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Pueyrredon;12297;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10399;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10400;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10412;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10644;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10737;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;10909;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Retiro;12631;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. Urquiza;11857;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. V. Ballester;8846;429
FFCC MITRE-SUAREZ;FFCC Mitre Est. V. Ballester;9558;429
FFCC MITRE-TIGRE;FFCC Mitre Est. Acassuso;6388;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Beccar;7768;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Belgrano C.;7348;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Belgrano C.;7419;430
FFCC MITRE-TIGRE;FFCC Mitre Est. La Lucila;7420;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Lisandro de la Torre;7603;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Martinez;7384;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Martinez;7414;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Nuñez;7534;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Nuñez;7813;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Retiro;10270;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Retiro;10675;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Retiro;10735;430
FFCC MITRE-TIGRE;FFCC Mitre Est. San Fernando;8025;430
FFCC MITRE-TIGRE;FFCC Mitre Est. San Fernando;8049;430
FFCC MITRE-TIGRE;FFCC Mitre Est. San isidro;7345;430
FFCC MITRE-TIGRE;FFCC Mitre Est. San isidro;7431;430
FFCC MITRE-TIGRE;FFCC Mitre Est. Tigre;8044;430
