prov_origen;depto_origen;prov_destino;depto_destino;hora_incio;cantidad_tren;cantidad_subte;cantidad_bus;cantidad_as;cantidad_transbordo;pobl2010_origen;pobl2010_destino
6;274;2;1;5;2016;1559;12349;3313;5398;426005;206262
2;15;6;266;5;1;0;1;0;1;182574;29805
2;11;6;648;5;9;4;28;14;13;189832;81141
6;648;6;658;5;59;1;242;88;117;81141;581314
6;568;6;441;5;25;2;89;30;27;321109;654324
6;574;2;9;5;0;0;3;2;0;17054;161797
6;560;6;371;5;216;1;3738;985;1445;451589;414196
2;3;6;658;5;284;995;4603;1099;1902;187537;581314
2;3;6;364;5;167;37;443;149;203;187537;87185
6;515;6;91;5;7;2;17;1;10;322375;324244
6;371;6;638;5;102;0;836;191;295;414196;299916
6;840;6;638;5;353;1;491;158;252;339828;299916
6;568;6;274;5;25;4;160;60;45;321109;426005
2;13;6;805;5;751;24;4601;1397;1679;232094;377797
2;13;6;658;5;394;407;1395;515;833;232094;581314
6;35;6;749;5;33;6;63;19;36;342464;166803
2;2;6;364;5;19;7;108;51;54;157835;87185
6;805;6;840;5;75;0;664;151;282;377797;339828
2;6;6;760;5;219;24;549;240;261;175916;273838
6;126;6;364;5;0;0;9;1;4;94461;87185
6;371;6;882;5;1;0;16;10;6;414196;114269
6;658;6;274;5;96;9;22361;5618;4932;581314;426005
6;371;6;539;5;471;0;1444;404;678;414196;525261
6;760;6;515;5;528;4;16072;3968;2891;273838;322375
2;1;2;12;5;2207;9050;6140;1044;3702;206262;200870
2;4;6;412;5;236;78;397;155;264;218245;265981
6;568;6;126;5;2;0;5;3;2;321109;94461
6;756;2;5;5;202;164;542;129;356;292878;179005
2;8;6;412;5;35;1;160;36;65;187237;265981
6;658;2;3;5;451;893;4761;1079;2317;581314;187537
6;371;6;371;5;2008;82;88598;27812;8527;414196;414196
6;427;6;119;5;0;0;1;0;0;1498704;26367
6;412;6;252;5;56;0;2825;688;839;265981;213619
2;15;6;658;5;115;564;1000;286;650;182574;581314
6;245;2;12;5;0;0;1;1;0;56729;200870
6;568;6;760;5;146;1;2791;626;678;321109;273838
6;756;2;1;5;6208;2849;6085;1504;5634;292878;206262
2;5;6;274;5;106;243;862;267;442;179005;426005
6;410;2;13;5;233;85;687;245;388;167824;232094
6;412;6;260;5;11;0;40;14;17;265981;300934
6;408;2;8;5;46;0;183;49;95;180423;187237
6;515;2;7;5;98;24;216;81;125;322375;220429
2;7;6;861;5;164;180;871;191;505;220429;268752
6;441;6;252;5;0;0;7;2;3;654324;213619
2;9;6;35;5;64;13;676;144;331;161797;342464
6;560;2;9;5;140;4;3480;1066;994;451589;161797
6;427;2;10;5;349;21;10631;2561;3367;1498704;165883
6;91;6;91;5;1047;48;60369;16095;5766;324244;324244
2;14;2;7;5;71;1304;5084;947;1358;225970;220429
6;28;6;840;5;42;11;168;57;85;552228;339828
2;1;6;412;5;1860;614;1780;807;1387;206262;265981
2;4;6;98;5;3;0;12;0;6;218245;88470
6;532;2;15;5;0;0;7;2;1;63284;182574
6;490;6;434;5;2224;64;35911;9880;8608;616279;459263
6;861;6;490;5;103;58;2360;772;994;268752;616279
6;638;2;13;5;264;33;1538;561;642;299916;232094
2;3;2;5;5;365;10019;11740;2761;1548;187537;179005
2;12;2;7;5;43;603;2435;427;667;200870;220429
6;756;6;861;5;1788;26;20111;4785;4207;292878;268752
6;560;6;525;5;0;0;285;79;125;451589;54181
6;805;2;8;5;11;1;296;52;115;377797;187237
2;8;2;11;5;29;2;2404;368;674;187237;189832
2;4;6;882;5;0;0;23;9;11;218245;114269
2;4;2;12;5;137;885;1810;346;954;218245;200870
6;861;6;91;5;46;15;86;41;63;268752;324244
6;28;2;14;5;1001;763;2647;966;1789;552228;225970
2;6;6;252;5;10;10;160;30;71;175916;213619
6;497;2;5;5;0;10;115;31;39;106273;179005
2;13;6;119;5;0;0;2;0;0;232094;26367
6;658;6;648;5;36;0;218;75;91;581314;81141
2;15;6;497;5;2;11;47;19;24;182574;106273
6;805;6;134;5;3;5;4;0;5;377797;51892
6;441;6;497;5;1;0;6;2;2;654324;106273
6;805;6;252;5;25;1;12441;2757;3103;377797;213619
6;427;6;560;5;1283;1;4336;1527;2069;1498704;451589
6;28;6;805;5;12;2;74;15;34;552228;377797
2;8;6;532;5;1;0;3;0;2;187237;63284
2;14;6;749;5;289;60;953;250;477;225970;166803
6;840;6;412;5;1535;0;2497;887;1502;339828;265981
6;35;6;410;5;28;5;71;27;35;342464;167824
6;882;2;15;5;0;0;22;5;5;114269;182574
6;119;6;260;5;3;0;9;4;4;26367;300934
6;497;6;427;5;0;0;93;23;30;106273;1498704
6;525;6;371;5;20;0;52;10;24;54181;414196
6;252;6;364;5;1;0;265;56;70;213619;87185
6;497;2;10;5;0;0;9;1;1;106273;165883
6;882;6;560;5;0;0;8;3;2;114269;451589
2;3;6;410;5;1148;198;1155;482;917;187537;167824
6;568;6;35;5;99;4;190;53;115;321109;342464
6;134;6;28;5;479;4;289;157;266;51892;552228
6;648;2;7;5;66;50;165;43;110;81141;220429
6;91;6;490;5;204;5;976;237;438;324244;616279
6;364;6;658;5;0;0;2;0;1;87185;581314
2;2;6;515;5;256;65;1002;416;401;157835;322375
6;371;2;13;5;610;59;4670;1264;1474;414196;232094
6;805;6;266;5;0;0;48;10;18;377797;29805
6;434;2;8;5;26;3;2023;405;901;459263;187237
6;574;6;515;5;0;0;1;0;0;17054;322375
6;28;6;756;5;28;6;104;36;47;552228;292878
2;5;6;525;5;18;15;51;29;25;179005;54181
6;412;2;9;5;181;1;589;180;272;265981;161797
2;12;6;840;5;205;51;2147;620;771;200870;339828
6;134;6;245;5;1;0;1;0;1;51892;56729
6;560;6;483;5;1;0;2;1;1;451589;36172
6;427;6;427;5;6285;190;482382;138232;74619;1498704;1498704
6;539;2;6;5;757;52;1542;699;811;525261;175916
6;266;6;266;5;0;0;2871;407;114;29805;29805
6;371;2;9;5;131;7;2007;439;752;414196;161797
2;14;6;126;5;1;6;100;30;23;225970;94461
6;260;6;749;5;1;0;61;8;27;300934;166803
6;805;6;260;5;2;1;97;27;41;377797;300934
6;560;2;15;5;659;59;2072;851;1071;451589;182574
2;3;6;574;5;1;0;1;0;1;187537;17054
6;756;2;11;5;104;6;839;147;344;292878;189832
6;427;6;270;5;36;0;1871;366;670;1498704;163671
2;1;6;274;5;1375;1595;9043;2277;3534;206262;426005
2;1;2;9;5;447;2047;8136;1188;2465;206262;161797
6;410;2;15;5;204;52;572;167;333;167824;182574
6;408;2;14;5;590;63;846;349;546;180423;225970
2;10;6;329;5;1;0;1;0;1;165883;14889
6;805;6;497;5;1;0;30;2;12;377797;106273
2;13;6;756;5;2512;57;5507;1342;2031;232094;292878
6;525;6;408;5;9;0;37;9;19;54181;180423
6;35;6;274;5;224;3;5464;1266;1423;342464;426005
2;9;2;8;5;55;7;11637;2203;1260;161797;187237
6;756;6;28;5;105;80;125;63;113;292878;552228
6;778;6;638;5;0;0;2;0;0;59478;299916
2;8;2;4;5;111;38;7321;1238;1505;187237;218245
6;568;2;8;5;194;1;729;144;382;321109;187237
6;490;6;245;5;1;0;5;0;2;616279;56729
6;434;6;861;5;103;15;461;137;224;459263;268752
2;12;6;861;5;135;42;9967;2205;1423;200870;268752
6;441;6;329;5;0;0;1;1;0;654324;14889
6;270;6;270;5;2709;64;46628;11750;4874;163671;163671
6;412;6;840;5;1284;3;2775;903;1449;265981;339828
6;658;6;412;5;6;0;24;3;9;581314;265981
6;260;6;270;5;981;11;11521;2694;2754;300934;163671
6;749;6;371;5;99;0;1302;354;490;166803;414196
2;1;6;98;5;22;12;149;30;69;206262;88470
6;274;2;13;5;257;195;703;334;471;426005;232094
6;861;2;12;5;248;76;9738;2136;1491;268752;200870
6;270;6;560;5;6;0;46;8;18;163671;451589
6;638;6;539;5;4;0;690;157;239;299916;525261
6;861;2;10;5;35;9;1150;204;433;268752;165883
6;749;6;412;5;29;0;868;231;320;166803;265981
6;245;2;4;5;7;0;12;2;8;56729;218245
2;2;2;1;5;1070;15499;34539;5677;4854;157835;206262
6;568;2;14;5;563;92;2630;724;1106;321109;225970
6;840;2;6;5;353;69;1732;421;533;339828;175916
6;134;6;441;5;6;0;6;2;3;51892;654324
6;497;6;560;5;2;1;1907;561;618;106273;451589
2;10;6;658;5;35;18;410;111;135;165883;581314
2;2;2;5;5;32;1324;4980;1040;866;157835;179005
2;4;2;9;5;158;99;3190;497;989;218245;161797
6;410;6;525;5;25;0;244;65;107;167824;54181
6;490;6;266;5;0;0;2;0;1;616279;29805
2;11;2;5;5;90;304;3604;700;727;189832;179005
6;91;6;560;5;8;0;19;4;9;324244;451589
2;14;6;441;5;72;190;541;98;348;225970;654324
2;9;6;126;5;0;0;12;4;6;161797;94461
6;539;2;3;5;3280;350;6825;2483;3201;525261;187537
2;15;6;28;5;247;775;714;225;439;182574;552228
6;408;6;408;5;1579;39;31350;8787;3872;180423;180423
6;427;6;840;5;418;17;16668;3825;4802;1498704;339828
6;266;6;882;5;0;0;40;6;10;29805;114269
2;14;6;490;5;238;648;4995;1668;1989;225970;616279
6;434;6;805;5;23;5;166;51;70;459263;377797
6;28;6;568;5;46;2;418;93;136;552228;321109
2;6;6;515;5;78;30;202;82;105;175916;322375
6;260;6;408;5;8;2;131;24;52;300934;180423
6;483;6;483;5;0;0;2072;208;7;36172;36172
2;4;6;91;5;149;10;2095;377;683;218245;324244
6;648;6;408;5;3;2;10;5;6;81141;180423
6;98;2;4;5;4;0;14;2;7;88470;218245
6;756;2;8;5;66;4;538;117;236;292878;187237
6;805;2;13;5;738;47;4457;1370;1659;377797;232094
2;4;2;1;5;1267;3943;41423;6438;6527;218245;206262
6;648;6;28;5;1226;44;8731;2366;2404;81141;552228
6;749;6;408;5;16;0;102;29;48;166803;180423
2;13;6;441;5;120;70;273;53;198;232094;654324
6;427;6;260;5;59;3;7476;1469;2378;1498704;300934
6;126;6;490;5;0;0;10;2;5;94461;616279
2;12;6;252;5;4;5;726;225;311;200870;213619
6;648;6;539;5;0;0;3;1;0;81141;525261
6;882;2;4;5;0;0;4;2;0;114269;218245
6;371;2;12;5;707;170;6405;1914;1548;414196;200870
6;490;6;126;5;0;0;13;2;5;616279;94461
6;364;6;427;5;2;0;373;92;145;87185;1498704
6;490;6;560;5;88;1;314;114;131;616279;451589
2;9;6;434;5;41;12;1383;246;600;161797;459263
2;6;6;568;5;813;83;1162;422;571;175916;321109
6;274;2;8;5;43;0;334;60;156;426005;187237
2;1;6;574;5;0;0;1;1;0;206262;17054
6;490;6;490;5;7209;349;218396;64398;33922;616279;616279
6;882;6;28;5;0;0;1;0;0;114269;552228
6;260;6;434;5;626;2;2834;745;1249;300934;459263
6;441;6;805;5;26;0;41;20;27;654324;377797
6;882;6;266;5;0;0;34;4;6;114269;29805
6;427;6;252;5;4;0;175;36;65;1498704;213619
6;861;6;778;5;6;8;5;3;8;268752;59478
2;3;6;532;5;10;8;46;15;18;187537;63284
6;245;6;245;5;3;0;8218;2041;410;56729;56729
6;28;2;9;5;115;8;573;183;264;552228;161797
2;4;2;4;5;840;546;42510;8560;5701;218245;218245
6;364;2;1;5;30;34;269;56;119;87185;206262
6;412;2;15;5;1142;149;1735;746;1021;265981;182574
6;532;6;364;5;0;0;65;14;23;63284;87185
2;8;6;882;5;0;1;9;2;4;187237;114269
6;638;2;14;5;458;85;1757;679;710;299916;225970
6;805;6;778;5;0;0;2;0;1;377797;59478
6;126;6;126;5;0;0;5153;1029;248;94461;94461
6;539;6;532;5;3;0;30;12;10;525261;63284
6;658;6;364;5;1;0;1;0;1;581314;87185
6;882;6;497;5;0;0;30;3;2;114269;106273
6;749;6;882;5;3;0;13;3;7;166803;114269
6;760;6;539;5;58;0;859;233;335;273838;525261
6;119;6;274;5;1;0;69;19;14;26367;426005
6;266;6;427;5;0;0;1;1;0;29805;1498704
2;5;2;9;5;68;407;3170;615;759;179005;161797
6;364;6;35;5;1;1;16;0;7;87185;342464
6;778;2;6;5;19;11;24;10;20;59478;175916
2;11;6;412;5;875;2;1086;620;732;189832;265981
2;7;2;3;5;284;10422;8659;1865;1564;220429;187537
6;749;6;410;5;3;0;34;6;12;166803;167824
6;756;6;497;5;1;0;36;6;14;292878;106273
6;658;6;410;5;4;1;19;9;9;581314;167824
6;260;6;28;5;756;5;7033;1895;2127;300934;552228
2;4;6;364;5;14;12;79;18;42;218245;87185
6;260;6;756;5;9;0;219;60;92;300934;292878
2;13;6;568;5;795;662;1820;541;1325;232094;321109
2;10;6;252;5;3;0;143;29;55;165883;213619
6;408;6;539;5;213;0;1290;322;629;180423;525261
6;91;2;7;5;60;144;437;124;269;324244;220429
6;525;6;760;5;21;0;54;21;26;54181;273838
6;260;6;245;5;0;0;2;1;0;300934;56729
6;756;6;134;5;8;8;9;3;9;292878;51892
6;270;2;3;5;361;147;613;239;432;163671;187537
2;13;2;13;5;2085;1341;27936;6499;3327;232094;232094
6;364;2;5;5;0;4;131;25;32;87185;179005
6;574;6;483;5;0;0;2;1;0;17054;36172
6;441;6;861;5;42;1;95;28;53;654324;268752
6;252;6;638;5;83;0;10686;2199;2479;213619;299916
2;6;6;329;5;3;1;2;0;3;175916;14889
6;408;6;658;5;8;1;23;10;10;180423;581314
2;13;2;15;5;599;1423;13139;2635;2396;232094;182574
2;15;6;91;5;71;273;433;118;304;182574;324244
6;427;6;497;5;15;0;91;32;37;1498704;106273
6;274;6;408;5;2;0;23;5;6;426005;180423
6;749;6;364;5;0;0;19;2;5;166803;87185
6;35;2;1;5;1522;1799;26012;4089;5736;342464;206262
6;756;6;266;5;0;0;18;0;6;292878;29805
2;10;6;861;5;33;3;1230;202;441;165883;268752
6;749;2;7;5;83;28;109;27;90;166803;220429
6;568;2;13;5;680;458;1673;434;1172;321109;232094
6;427;2;3;5;2121;1853;14594;3899;6354;1498704;187537
6;427;2;7;5;541;342;14980;3707;4182;1498704;220429
6;560;2;14;5;669;32;2669;1303;1290;451589;225970
2;8;6;408;5;34;1;162;32;79;187237;180423
6;441;6;568;5;14;0;82;31;20;654324;321109
2;5;6;648;5;39;54;133;26;69;179005;81141
6;410;6;410;5;846;13;25080;8441;2475;167824;167824
6;490;6;35;5;1386;10;8632;2062;3161;616279;342464
6;364;6;126;5;0;0;16;2;7;87185;94461
2;8;2;12;5;6;24;1410;254;395;187237;200870
6;35;6;35;5;1221;106;92266;24213;10745;342464;342464
6;28;6;760;5;9;1;39;8;16;552228;273838
6;28;6;441;5;56;5;766;180;230;552228;654324
6;260;6;805;5;2;0;181;50;82;300934;377797
2;6;6;525;5;31;4;57;28;33;175916;54181
6;568;6;410;5;1186;15;12942;3868;2240;321109;167824
6;91;2;3;5;164;470;2491;622;1015;324244;187537
6;638;2;12;5;152;5;762;294;353;299916;200870
6;266;6;749;5;0;0;5;0;2;29805;166803
6;532;6;749;5;0;0;1;1;0;63284;166803
2;3;6;412;5;501;455;603;257;531;187537;265981
6;497;6;434;5;1;0;4;0;1;106273;459263
6;245;2;13;5;0;1;1;0;1;56729;232094
2;8;6;364;5;25;0;68;35;34;187237;87185
2;1;6;648;5;501;448;1090;287;580;206262;81141
6;119;2;2;5;0;0;3;0;1;26367;157835
6;638;2;8;5;12;0;90;20;39;299916;187237
2;1;2;1;5;11884;76635;92741;15386;19860;206262;206262
6;574;6;539;5;0;0;54;13;3;17054;525261
2;4;2;11;5;125;130;2385;433;739;218245;189832
2;15;6;861;5;198;286;3994;705;1065;182574;268752
6;861;2;15;5;299;254;4104;707;1134;268752;182574
6;126;6;91;5;0;0;2;0;0;94461;324244
2;10;6;568;5;885;6;1927;602;781;165883;321109
6;274;2;14;5;420;330;1571;690;968;426005;225970
6;568;6;574;5;2;0;6;2;3;321109;17054
2;12;2;2;5;94;1737;3610;704;1319;200870;157835
6;412;6;427;5;133;0;660;197;268;265981;1498704
2;7;6;497;5;3;16;47;14;24;220429;106273
6;840;6;35;5;65;18;224;54;121;339828;342464
2;8;6;410;5;80;0;279;76;135;187237;167824
2;11;6;574;5;0;0;2;0;1;189832;17054
6;270;2;6;5;115;51;188;94;132;163671;175916
2;2;6;371;5;276;255;1214;394;564;157835;414196
6;638;6;532;5;0;0;12;4;5;299916;63284
6;515;6;266;5;2;0;51;8;19;322375;29805
6;245;6;560;5;1;1;1;2;1;56729;451589
6;134;2;5;5;47;33;19;10;41;51892;179005
6;525;6;515;5;1;0;6;3;3;54181;322375
6;35;2;11;5;42;26;731;178;238;342464;189832
6;35;6;760;5;54;11;107;32;66;342464;273838
2;2;6;412;5;533;115;1048;585;590;157835;265981
6;260;6;861;5;25;4;409;107;183;300934;268752
6;98;2;14;5;3;3;10;5;5;88470;225970
6;35;6;441;5;128;6;377;94;179;342464;654324
6;412;6;35;5;29;1;65;17;32;265981;342464
2;4;6;410;5;129;39;310;84;179;218245;167824
6;749;6;483;5;0;0;1;1;0;166803;36172
6;638;6;434;5;9;2;34;12;14;299916;459263
6;560;6;532;5;1;0;163;61;52;451589;63284
2;11;2;13;5;255;437;5993;1040;1625;189832;232094
6;882;2;14;5;0;3;94;21;9;114269;225970
6;252;2;9;5;1;0;229;44;89;213619;161797
2;8;2;8;5;199;34;19454;4136;2577;187237;187237
6;434;6;490;5;1352;31;35735;9612;7565;459263;616279
6;648;2;5;5;72;67;171;51;127;81141;179005
2;2;2;14;5;208;5850;21276;4447;2088;157835;225970
2;6;6;805;5;45;29;374;123;129;175916;377797
6;532;6;410;5;0;0;7;4;2;63284;167824
6;861;6;260;5;62;42;504;154;230;268752;300934
6;434;6;515;5;17;6;58;19;32;459263;322375
6;648;2;11;5;19;1;51;11;27;81141;189832
6;483;2;3;5;0;0;5;1;0;36172;187537
6;861;6;840;5;149;3;2116;497;805;268752;339828
6;861;2;13;5;1159;190;13793;2971;1996;268752;232094
6;497;6;658;5;0;0;5;2;2;106273;581314
6;756;6;778;5;8;4;2;5;5;292878;59478
6;371;6;648;5;1;2;10;3;5;414196;81141
2;9;6;560;5;944;0;2205;830;1154;161797;451589
2;12;6;497;5;2;2;23;8;10;200870;106273
6;329;2;10;5;1;0;3;1;1;14889;165883
6;532;6;760;5;0;0;7;3;1;63284;273838
6;568;2;1;5;2439;1696;3826;915;3111;321109;206262
2;11;6;882;5;1;0;8;0;4;189832;114269
2;7;6;266;5;0;0;2;0;0;220429;29805
6;638;6;648;5;1;0;4;0;1;299916;81141
6;756;2;12;5;220;7;2793;555;950;292878;200870
6;760;2;4;5;170;55;531;105;279;273838;218245
6;441;2;2;5;42;105;423;78;222;654324;157835
2;11;2;15;5;529;689;11089;2370;1822;189832;182574
6;252;6;412;5;43;0;2923;717;873;213619;265981
6;805;2;15;5;163;32;1099;247;476;377797;182574
6;560;2;4;5;65;34;684;191;258;451589;218245
6;778;2;3;5;83;45;122;30;106;59478;187537
2;12;6;525;5;10;1;42;16;18;200870;54181
6;568;6;364;5;150;0;372;143;213;321109;87185
2;12;6;568;5;176;45;843;250;402;200870;321109
2;2;6;408;5;304;110;565;218;348;157835;180423
2;14;2;11;5;844;210;5638;1044;1417;225970;189832
2;10;6;756;5;75;0;670;147;265;165883;292878
6;483;6;574;5;0;0;2;1;0;36172;17054
6;539;6;412;5;48;0;341;112;104;525261;265981
2;9;6;245;5;1;0;2;0;1;161797;56729
6;658;6;98;5;17;0;45;12;22;581314;88470
6;658;2;13;5;237;363;1769;578;994;581314;232094
6;515;2;3;5;413;222;696;273;525;322375;187537
6;274;6;539;5;2;0;24;9;5;426005;525261
6;427;6;778;5;35;1;115;37;48;1498704;59478
6;658;2;15;5;169;652;1715;468;1056;581314;182574
2;2;6;260;5;70;169;1146;401;404;157835;300934
6;412;6;126;5;0;0;48;15;19;265981;94461
2;12;6;760;5;299;47;1151;424;495;200870;273838
6;410;2;3;5;892;198;1384;485;807;167824;187537
2;12;6;126;5;0;0;45;15;16;200870;94461
6;260;6;119;5;2;0;13;4;5;300934;26367
6;756;6;91;5;30;5;65;22;37;292878;324244
6;441;2;14;5;72;186;421;71;294;654324;225970
6;410;6;648;5;0;0;3;1;1;167824;81141
2;11;6;270;5;9;5;147;51;49;189832;163671
6;134;2;3;5;86;36;76;25;81;51892;187537
6;364;6;532;5;0;0;82;19;28;87185;63284
6;568;2;12;5;178;21;768;213;378;321109;200870
2;15;6;434;5;144;520;2367;551;1149;182574;459263
6;490;6;260;5;1398;12;19033;4457;4977;616279;300934
6;371;6;28;5;14;29;138;28;63;414196;552228
6;778;2;11;5;1;1;9;4;4;59478;189832
2;6;6;497;5;1;9;31;11;19;175916;106273
2;9;6;490;5;84;9;5548;1197;2122;161797;616279
2;1;2;7;5;742;16031;13731;2190;3810;206262;220429
6;270;6;861;5;10;3;53;19;26;163671;268752
6;560;6;882;5;0;0;20;9;6;451589;114269
6;434;6;483;5;0;0;2;2;1;459263;36172
6;525;6;274;5;2;0;13;7;7;54181;426005
6;882;6;539;5;0;0;1;0;0;114269;525261
2;14;2;2;5;81;4993;20839;4351;1829;225970;157835
2;7;6;560;5;343;86;829;339;408;220429;451589
6;274;6;98;5;4;0;76;16;32;426005;88470
6;98;6;441;5;36;0;13555;3230;1631;88470;654324
6;749;6;749;5;2321;14;36609;10229;4128;166803;166803
2;14;2;12;5;82;883;6621;1255;1447;225970;200870
6;119;6;441;5;0;0;355;68;19;26367;654324
2;7;6;778;5;12;28;31;12;13;220429;59478
2;12;6;35;5;43;208;460;125;288;200870;342464
6;252;6;35;5;2;1;31;3;12;213619;342464
6;861;6;274;5;113;45;143;72;125;268752;426005
6;490;6;778;5;300;1;897;285;391;616279;59478
6;525;2;13;5;28;8;65;33;34;54181;232094
2;12;2;1;5;1146;10592;7881;1161;4666;200870;206262
2;11;6;434;5;37;30;1129;306;483;189832;459263
6;638;6;427;5;47;1;292;77;120;299916;1498704
2;3;6;778;5;47;67;155;29;60;187537;59478
6;119;2;1;5;15;2;58;13;20;26367;206262
6;410;6;28;5;10;0;52;6;26;167824;552228
6;434;6;525;5;2;0;8;3;3;459263;54181
6;427;6;568;5;2563;20;40293;10507;10461;1498704;321109
